threshold,tp,fp,tn,fn,tpr,fpr,fnr,tnr,precision,recall,f1,Samples per test
0.11901969308251732,6534,28761,2680439,87536,0.06945891357499734,0.010616049018160342,0.9305410864250027,0.9893839509818396,0.18512537186570335,0.06945891357499734,0.10101650369110655,1
0.12082302176558578,6708,29895,2679305,87362,0.07130859997873924,0.011034622766868448,0.9286914000212607,0.9889653772331316,0.18326366691254814,0.07130859997873924,0.1026684931087524,1
0.12262635044865422,6847,31015,2678185,87223,0.07278622302540662,0.01144802893843201,0.9272137769745934,0.988551971061568,0.1808409487084676,0.07278622302540662,0.10379589485492527,1
0.12442967913172266,7015,32090,2677110,87055,0.0745721271393643,0.011844825040602391,0.9254278728606357,0.9881551749593976,0.17938882495844521,0.0745721271393643,0.10535010324760655,1
0.1262330078147911,7170,33241,2675959,86900,0.07621983629212288,0.012269673704414587,0.9237801637078771,0.9877303262955854,0.17742693820989336,0.07621983629212288,0.10663216365137082,1
0.12803633649785956,7303,34427,2674773,86767,0.07763367704900606,0.012707441311088145,0.922366322950994,0.9872925586889119,0.17500599089384136,0.07763367704900606,0.10755522827687777,1
0.129839665180928,7460,35567,2673633,86610,0.07930264696502605,0.013128229735715341,0.9206973530349739,0.9868717702642846,0.17337950589164944,0.07930264696502605,0.10882805604790768,1
0.13164299386399644,7601,36795,2672405,86469,0.08080153077495482,0.013581500073822531,0.9191984692250452,0.9864184999261775,0.17120911793855303,0.08080153077495482,0.10978868458682997,1
0.13344632254706487,7752,38053,2671147,86318,0.0824067184011906,0.014045843791525174,0.9175932815988094,0.9859541562084748,0.1692391660299094,0.0824067184011906,0.11084182305630025,1
0.13524965123013333,7893,39297,2669903,86177,0.08390560221111938,0.014505019932083273,0.9160943977888806,0.9854949800679167,0.16726001271455818,0.08390560221111938,0.11175138043324366,1
0.13705297991320178,8022,40573,2668627,86048,0.08527692144147975,0.014976007677543186,0.9147230785585202,0.9850239923224569,0.16507871180162567,0.08527692144147975,0.11245925770160868,1
0.1388563085962702,8182,41908,2667292,85888,0.08697778250239184,0.015468773069540824,0.9130222174976081,0.9845312269304591,0.16334597724096625,0.08697778250239184,0.11351276359600446,1
0.14065963727933867,8314,43296,2665904,85756,0.08838099287764431,0.015981101432157096,0.9116190071223557,0.9840188985678429,0.16109281147064522,0.08838099287764431,0.11414058209774848,1
0.1424629659624071,8455,44673,2664527,85615,0.08987987668757308,0.016489369555588367,0.9101201233124269,0.9835106304444117,0.15914395422376149,0.08987987668757308,0.11487927825106319,1
0.14426629464547555,8620,45984,2663216,85450,0.09163388965663867,0.01697327624390964,0.9083661103433613,0.9830267237560903,0.1578638927551095,0.09163388965663867,0.1159584056391837,1
0.14606962332854398,8820,47406,2661794,85250,0.09375996598277878,0.017498154436734092,0.9062400340172212,0.9825018455632659,0.15686692989008644,0.09375996598277878,0.11736839303773884,1
0.14787295201161244,8952,48903,2660297,85118,0.09516317635803126,0.018050716078547174,0.9048368236419687,0.9819492839214529,0.15473165672802697,0.09516317635803126,0.11784762218199771,1
0.1496762806946809,9086,50292,2658908,84984,0.09658764749654512,0.018563413553816625,0.9034123525034549,0.9814365864461834,0.15301963690255652,0.09658764749654512,0.11842448256086753,1
0.15147960937774932,9244,51676,2657524,84826,0.09826724779419581,0.019074265465820167,0.9017327522058042,0.9809257345341799,0.15173998686802365,0.09826724779419581,0.11928511516872056,1
0.15328293806081777,9393,53136,2656064,84677,0.0998511746571702,0.019613169939465526,0.9001488253428298,0.9803868300605345,0.15021829870939885,0.0998511746571702,0.11996245186750873,1
0.1550862667438862,9527,54592,2654608,84543,0.10127564579568407,0.020150597962498153,0.898724354204316,0.9798494020375018,0.14858310329231586,0.10127564579568407,0.12045085309345151,1
0.15688959542695466,9689,56016,2653184,84381,0.10299776761985756,0.020676214380628968,0.8970022323801424,0.9793237856193711,0.14746214138954417,0.10299776761985756,0.12128305429510249,1
0.15869292411002311,9842,57559,2651641,84228,0.10462421600935473,0.02124575520448841,0.8953757839906452,0.9787542447955115,0.14602157238023175,0.10462421600935473,0.12190424286714022,1
0.16049625279309154,10015,59047,2650153,84055,0.10646327203146592,0.021794994832422854,0.8935367279685341,0.9782050051675771,0.14501462454026817,0.10646327203146592,0.12278400313856265,1
0.16229958147616,10152,60546,2648654,83918,0.1079196343148719,0.0223482946995423,0.892080365685128,0.9776517053004578,0.14359670712042774,0.1079196343148719,0.12322781122548068,1
