threshold,tp,fp,tn,fn,tpr,fpr,fnr,tnr,precision,recall,f1
0.5389146563982723,24575,2408709,10036851,27365,0.47314208702348864,0.19353962376944067,0.5268579129765114,0.8064603762305593,0.010099519825881401,0.47314208702348864,0.01977688932667639
0.5574979204120059,25440,2553547,9892013,26500,0.4897959183673469,0.2051773483876981,0.5102040816326531,0.7948226516123019,0.009864338207210816,0.4897959183673469,0.019339191091200934
0.5760811844257393,26236,2702226,9743334,25704,0.505121293800539,0.21712369712572194,0.4948787061994609,0.782876302874278,0.009615673591935676,0.505121293800539,0.01887209115804117
0.5946644484394729,27046,2854718,9590842,24894,0.5207162110127069,0.22937642018519055,0.479283788987293,0.7706235798148094,0.009385223772661468,0.5207162110127069,0.018438124636977693
0.6132477124532064,27876,3011194,9434366,24064,0.5366961879091259,0.24194925740585396,0.46330381209087407,0.7580507425941461,0.009172542916089462,0.5366961879091259,0.01803682291548717
0.6318309764669399,28661,3173437,9272123,23279,0.55180978051598,0.2549854727308373,0.44819021948402005,0.7450145272691626,0.008950694201114395,0.55180978051598,0.017615651691836418
0.6504142404806734,29435,3339469,9106091,22505,0.566711590296496,0.26832613397870403,0.433288409703504,0.7316738660212959,0.008737262919928854,0.566711590296496,0.01720920334280078
0.668997504494407,30236,3509767,8935793,21704,0.5821332306507508,0.2820095680708622,0.41786676934924916,0.7179904319291378,0.00854123569951777,0.5821332306507508,0.0168354564646488
0.6875807685081405,30984,3684907,8760653,20956,0.5965344628417405,0.2960820565727858,0.40346553715825956,0.7039179434272143,0.008338242429608404,0.5965344628417405,0.01644659752520747
0.706164032521874,31745,3865318,8580242,20195,0.6111859838274932,0.31057806960876005,0.3888140161725067,0.6894219303912399,0.00814587806253068,0.6111859838274932,0.0160774757578052
0.7247472965356075,32502,4050168,8395392,19438,0.6257604928763958,0.325430756028656,0.37423950712360415,0.674569243971344,0.007960966720308034,0.6257604928763958,0.0157219181494748
0.7433305605493411,33254,4241513,8204047,18686,0.6402387370042356,0.3408053153092348,0.35976126299576433,0.6591946846907653,0.007779137436028677,0.6402387370042356,0.015371505396598385
0.7619138245630745,33997,4437653,8007907,17943,0.6545437042741625,0.3565651525523962,0.3454562957258375,0.6434348474476038,0.007602786443482831,0.6545437042741625,0.015030982029759549
0.7804970885768081,34688,4639509,7806051,17252,0.6678475163650366,0.3727842700529345,0.3321524836349634,0.6272157299470654,0.007421167742822992,0.6678475163650366,0.01467921899005467
0.7990803525905417,35408,4846520,7599040,16532,0.6817096649980747,0.38941759149447674,0.3182903350019253,0.6105824085055233,0.007252872225891082,0.6817096649980747,0.014353039035499124
0.8176636166042752,36169,5060297,7385263,15771,0.6963611859838275,0.4065945606304578,0.3036388140161725,0.5934054393695423,0.007096878503653316,0.6963611859838275,0.014050562445929867
0.8362468806180087,36940,5281039,7164521,15000,0.7112052368117058,0.42433116709894936,0.28879476318829417,0.5756688329010506,0.006946247813314043,0.7112052368117058,0.013758121863663122
0.8548301446317422,37652,5509002,6936558,14288,0.7249133615710435,0.4426479804846066,0.2750866384289565,0.5573520195153935,0.006788236655828901,0.7249133615710435,0.013450519898388772
0.8734134086454758,38379,5742025,6703535,13561,0.7389102810935695,0.46137136456696204,0.2610897189064305,0.538628635433038,0.0066395013220529224,0.7389102810935695,0.013160746348294958
0.8919966726592092,39037,5982792,6462768,12903,0.7515787447054293,0.48071697858513396,0.24842125529457065,0.519283021414866,0.006482581953090996,0.7515787447054293,0.012854291956114892
0.9105799366729428,39729,6230438,6215122,12211,0.764901809780516,0.5006153198409714,0.23509819021948403,0.4993846801590286,0.0063361948732784945,0.764901809780516,0.012568278265458019
0.9291632006866763,40418,6485640,5959920,11522,0.778167115902965,0.5211207852438942,0.22183288409703503,0.4788792147561058,0.00619332528150991,0.778167115902965,0.012288845329536432
0.9477464647004099,41114,6748601,5696959,10826,0.7915671929149019,0.5422496858317344,0.2084328070850982,0.4577503141682656,0.0060553351650253365,0.7915671929149019,0.01201872938638385
0.9663297287141434,41798,7018207,5427353,10142,0.804736234116288,0.5639125117712662,0.19526376588371197,0.4360874882287338,0.005920392407654102,0.804736234116288,0.011754309123594178
0.9849129927278769,42484,7294649,5150911,9456,0.8179437812860993,0.586124609901041,0.18205621871390065,0.41387539009895896,0.005790272576495479,0.8179437812860993,0.011499142043934336
1.0034962567416104,43220,7578809,4866751,8720,0.8321139776665383,0.6089568488681908,0.1678860223334617,0.39104315113180926,0.005670406134639477,0.8321139776665383,0.011264053842281616
1.022079520755344,43932,7868254,4577306,8008,0.845822102425876,0.632213737268552,0.15417789757412398,0.367786262731448,0.005552447831737019,0.845822102425876,0.01103247236419916
1.0406627847690775,44655,8162338,4283222,7285,0.8597420100115518,0.6558433690408467,0.1402579899884482,0.34415663095915333,0.005441091517928673,0.8597420100115518,0.010813745552845628
1.059246048782811,45337,8458381,3987179,6603,0.8728725452445129,0.6796304063457169,0.1271274547554871,0.32036959365428314,0.005331432674507786,0.8728725452445129,0.010598132837941863
1.0778293127965446,45947,8755333,3690227,5993,0.8846168656141702,0.7034904817461006,0.1153831343858298,0.2965095182538994,0.005220490655904596,0.8846168656141702,0.010379726246495625
1.0964125768102781,46541,9050668,3394892,5399,0.8960531382364266,0.7272206312934091,0.10394686176357336,0.2727793687065909,0.0051159646876311185,0.8960531382364266,0.01017384239780115
1.1149958408240117,47163,9343938,3101622,4777,0.9080284944166346,0.7507848582144958,0.09197150558336542,0.24921514178550422,0.005022094853414951,0.9080284944166346,0.00998894318048603
1.133579104837745,47715,9632779,2812781,4225,0.9186561417019639,0.7739932152510615,0.0813438582980362,0.22600678474893857,0.0049289839960646635,0.9186561417019639,0.009805358043013699
1.1521623688514786,48242,9913786,2531774,3698,0.9288024643819792,0.7965721108572053,0.0711975356180208,0.2034278891427947,0.004842588276202396,0.9288024643819792,0.009634941913135733
1.1707456328652122,48757,10185419,2260141,3183,0.938717751251444,0.8183978061252366,0.06128224874855603,0.18160219387476337,0.004764135383249223,0.938717751251444,0.009480157524958887
1.1893288968789457,49196,10445071,2000489,2744,0.9471698113207547,0.8392608287614217,0.052830188679245285,0.16073917123857825,0.00468789292286922,0.9471698113207547,0.009329610162212823
1.2079121608926793,49627,10691794,1753766,2313,0.955467847516365,0.8590850070225847,0.044532152483634964,0.14091499297741525,0.004620152212635554,0.955467847516365,0.00919583807119951
1.2264954249064128,49973,10922784,1522776,1967,0.9621293800539084,0.8776450396768004,0.037870619946091644,0.1223549603231996,0.004554279293708956,0.9621293800539084,0.009065645976483527
1.2450786889201464,50286,11135884,1309676,1654,0.9681555641124374,0.8947676119033615,0.03184443588756257,0.10523238809663849,0.004495372410753636,0.9681555641124374,0.008949191634536413
1.2636619529338797,50557,11330063,1115497,1383,0.9733731228340393,0.9103698829140674,0.026626877165960725,0.08963011708593266,0.004442376601626274,0.9733731228340393,0.00884438830848034
1.2822452169476133,50822,11505721,939839,1118,0.9784751636503658,0.9244839926849414,0.02152483634963419,0.07551600731505854,0.004397681901932092,0.9784751636503658,0.008756010582950417
1.3008284809613468,51021,11661893,783667,919,0.9823065075086639,0.937032403523827,0.017693492491336157,0.06296759647617303,0.004355961291955188,0.9823065075086639,0.008673460801128513
1.3194117449750804,51191,11799193,646367,749,0.9855795148247979,0.9480644502939201,0.014420485175202157,0.05193554970607992,0.004319775629211678,0.9855795148247979,0.008601849521152338
1.337995008988814,51361,11918237,527323,579,0.9888525221409319,0.9576296285582971,0.011147477859068156,0.04237037144170291,0.004290954466474145,0.9888525221409319,0.008544830120738296
1.3565782730025475,51514,12019631,425929,426,0.9917982287254524,0.9657766303806338,0.008201771274547555,0.03422336961936626,0.004267532201791959,0.9917982287254524,0.008498496876001448
1.375161537016281,51618,12105732,339828,322,0.9938005390835579,0.9726948405696489,0.0061994609164420485,0.027305159430351066,0.0042458265987242285,0.9938005390835579,0.00845552853605738
1.3937448010300144,51693,12177223,268337,247,0.9952445128994994,0.978439138134403,0.0047554871005005776,0.02156086186559705,0.004227112198660944,0.9952445128994994,0.008418468549749302
1.412328065043748,51760,12236023,209537,180,0.9965344628417405,0.983163714609869,0.0034655371582595304,0.0168362853901311,0.004212313970713838,0.9965344628417405,0.00838916724467802
1.4309113290574815,51819,12284009,161551,121,0.9976703889102811,0.9870193868335374,0.0023296110897189064,0.012980613166462578,0.004200690865663821,0.9976703889102811,0.008366156033919912
1.449494593071215,51853,12322476,123084,87,0.9983249903735079,0.9901102079777848,0.0016750096264921063,0.009889792022215151,0.004190368625240205,0.9983249903735079,0.008345706985741254
1.4680778570849486,51891,12352953,92607,49,0.9990566037735849,0.9925590331009613,0.0009433962264150943,0.0074409668990386936,0.004183123947387004,0.9990566037735849,0.008331363857637733
