threshold,tp,fp,tn,fn,tpr,fpr,fnr,tnr,precision,recall,f1,Training Data,Testing Data
1.077314550226385,10565,11004772,1481375,788,0.9305910332070818,0.881358516762617,0.06940896679291818,0.118641483237383,0.0009591172743965981,0.9305910332070818,0.0019162595484229629,Switzerland,Germany
1.0972648196750217,10606,11060764,1425383,747,0.9342024134589976,0.8858428464761787,0.06579758654100237,0.11415715352382123,0.0009579663582736373,0.9342024134589976,0.0019139700595241802,Switzerland,Germany
1.1172150891236585,10643,11115120,1371027,710,0.9374614639302387,0.8901961509823647,0.0625385360697613,0.1098038490176353,0.000956608549004684,0.9374614639302387,0.001911266794742912,Switzerland,Germany
1.1371653585722954,10677,11167836,1318311,676,0.9404562670659737,0.8944181099261446,0.05954373293402625,0.10558189007385545,0.0009551359827554882,0.9404562670659737,0.001908333844212254,Switzerland,Germany
1.157115628020932,10708,11219340,1266807,645,0.9431868228662028,0.898543001295756,0.05681317713379724,0.10145699870424399,0.000953513288634207,0.9431868228662028,0.0019051006186862295,Switzerland,Germany
1.1770658974695687,10732,11268754,1217393,621,0.945300801550251,0.9025005071620573,0.054699198449748965,0.09749949283794272,0.0009514617953335817,0.945300801550251,0.0019010101906510224,Switzerland,Germany
1.1970161669182056,10763,11316877,1169270,590,0.94803135735048,0.9063546184423426,0.051968642649519954,0.09364538155765746,0.0009501537831357635,0.94803135735048,0.001898404911265048,Switzerland,Germany
1.2169664363668424,10797,11363817,1122330,556,0.9510261604862151,0.9101139847224288,0.0489738395137849,0.08988601527757122,0.0009492190240477611,0.9510261604862151,0.001896545106796814,Switzerland,Germany
1.236916705815479,10826,11410097,1076050,527,0.9535805513961068,0.9138204924225224,0.04641944860389324,0.08617950757747767,0.0009479093765013563,0.9535805513961068,0.0018939360806194672,Switzerland,Germany
1.2568669752641157,10860,11454501,1031646,493,0.9565753545318418,0.9173767536134245,0.0434246454681582,0.08262324638657546,0.0009472008774952659,0.9565753545318418,0.0018925277740649458,Switzerland,Germany
1.2768172447127526,10892,11498099,988048,461,0.9593939927772395,0.9208684632657296,0.040606007222760504,0.07913153673427038,0.0009463905219840731,0.9593939927772395,0.0018909157573766893,Switzerland,Germany
1.2967675141613895,10917,11540808,945339,436,0.9615960539064564,0.9242889740125597,0.038403946093543556,0.07571102598744033,0.000945053660816891,0.9615960539064564,0.001888251553781787,Switzerland,Germany
